"Actualisation","dep","Département","jour","R_couleur","Région","taux_occupation_sae_couleur","tx_incid_couleur","tx_pos_couleur","type","dc","densite","hosp","incid_dc","incid_hosp","incid_rad","incid_rea","Latitude","Longitude","nb_orange","nb_rouge","P","pop","R","rad","rea","sexe","superficie","T","taux_occupation_sae","tx_incid","tx_pos"
"10/11/2020-20:09","50","Manche","18/03/2020","","Normandie","","","","dh","0","82.4445938","7","","","","","49.0969","-1.2437","","","","490669","","1","0","0","5951.5","","","",""
"10/11/2020-20:09","51","Marne","18/03/2020","","Grand Est","","","","dh","1","69.01898618","35","","","","","48.9638","4.3158","","","","563823","","6","7","0","8169.1","","","",""
"10/11/2020-20:09","52","Haute-Marne","18/03/2020","","Grand Est","","","","dh","1","27.25179532","4","","","","","48.1367","5.2597","","","","169250","","0","0","0","6210.6","","","",""
"10/11/2020-20:09","53","Mayenne","18/03/2020","","Pays de la Loire","","","","dh","0","59.00544907","4","","","","","48.1523","-0.6498","","","","305365","","2","0","0","5175.2","","","",""
"10/11/2020-20:09","54","Meurthe-et-Moselle","18/03/2020","","Grand Est","","","","dh","5","139.2321623","42","","","","","48.9594","5.9851","","","","730398","","1","19","0","5245.9","","","",""
"10/11/2020-20:09","55","Meuse","18/03/2020","","Grand Est","","","","dh","0","29.24316579","11","","","","","49.0154","5.4295","","","","181641","","0","3","0","6211.4","","","",""
"10/11/2020-20:09","56","Morbihan","18/03/2020","","Bretagne","","","","dh","7","110.7445842","39","","","","","47.8276","-2.7608","","","","755566","","63","14","0","6822.6","","","",""
"10/11/2020-20:09","57","Moselle","18/03/2020","","Grand Est","","","","dh","16","166.6370671","169","","","","","49.0235","6.5361","","","","1035866","","11","34","0","6216.3","","","",""
"10/11/2020-20:09","58","Nièvre","18/03/2020","","Bourgogne-Franche-Comté","","","","dh","0","29.28044362","0","","","","","47.121","3.5451","","","","199596","","0","0","0","6816.7","","","",""
"10/11/2020-20:09","59","Nord","18/03/2020","","Hauts-de-France","","","","dh","3","450.8232918","106","","","","","50.5322","3.0856","","","","2588988","","16","26","0","5742.8","","","",""
"10/11/2020-20:09","60","Oise","18/03/2020","","Hauts-de-France","","","","dh","6","140.7933176","94","","","","","49.4134","2.407","","","","825077","","18","22","0","5860.2","","","",""
"10/11/2020-20:09","61","Orne","18/03/2020","","Normandie","","","","dh","0","45.36864698","4","","","","","48.578","0.0423","","","","276903","","2","0","0","6103.4","","","",""
"10/11/2020-20:09","62","Pas-de-Calais","18/03/2020","","Hauts-de-France","","","","dh","0","217.7620889","22","","","","","50.5174","2.2559","","","","1452778","","16","9","0","6671.4","","","",""
"10/11/2020-20:09","63","Puy-de-Dôme","18/03/2020","","Auvergne-Rhône-Alpes","","","","dh","0","82.84377078","10","","","","","45.7744","3.0818","","","","660240","","3","2","0","7969.7","","","",""
"10/11/2020-20:09","64","Pyrénées-Atlantiques","18/03/2020","","Nouvelle-Aquitaine","","","","dh","0","89.36388133","5","","","","","43.1888","-0.7265","","","","683169","","0","0","0","7644.8","","","",""
"10/11/2020-20:09","65","Hautes-Pyrénées","18/03/2020","","Occitanie","","","","dh","0","50.81518817","0","","","","","43.1452","0.1581","","","","226839","","0","0","0","4464","","","",""
"10/11/2020-20:09","66","Pyrénées-Orientales","18/03/2020","","Occitanie","","","","dh","0","116.3751215","9","","","","","42.6264","2.5065","","","","479000","","1","5","0","4116","","","",""
"10/11/2020-20:09","67","Bas-Rhin","18/03/2020","","Grand Est","","","","dh","15","238.1928496","210","","","","","48.601","7.5346","","","","1132607","","4","58","0","4755","","","",""
"10/11/2020-20:09","68","Haut-Rhin","18/03/2020","","Grand Est","","","","dh","74","216.4994894","371","","","","","47.867","7.232","","","","763204","","116","77","0","3525.2","","","",""
"10/11/2020-20:09","69","Rhône","18/03/2020","","Auvergne-Rhône-Alpes","","","","dh","0","577.4063587","36","","","","","45.8853","4.6129","","","","1876051","","10","8","0","3249.1","","","",""
"10/11/2020-20:09","70","Haute-Saône","18/03/2020","","Bourgogne-Franche-Comté","","","","dh","0","43.50553161","14","","","","","47.6392","6.0971","","","","233194","","2","4","0","5360.1","","","",""
"10/11/2020-20:09","71","Saône-et-Loire","18/03/2020","","Bourgogne-Franche-Comté","","","","dh","5","63.88841592","35","","","","","46.6589","4.5617","","","","547824","","4","0","0","8574.7","","","",""
"10/11/2020-20:09","72","Sarthe","18/03/2020","","Pays de la Loire","","","","dh","0","90.27183371","9","","","","","48.0286","0.2547","","","","560227","","1","0","0","6206","","","",""
"10/11/2020-20:09","73","Savoie","18/03/2020","","Auvergne-Rhône-Alpes","","","","dh","0","71.75289883","8","","","","","45.4973","6.3664","","","","432548","","3","0","0","6028.3","","","",""
"10/11/2020-20:09","74","Haute-Savoie","18/03/2020","","Auvergne-Rhône-Alpes","","","","dh","5","188.7973472","31","","","","","46.0459","6.3434","","","","828405","","43","8","0","4387.8","","","",""
"10/11/2020-20:09","75","Paris","18/03/2020","","Île-de-France","","","","dh","14","20382.077798861","359","","","","","48.8575","2.3198","","","","2148271","","40","105","0","105.4","","","",""
"10/11/2020-20:09","76","Seine-Maritime","18/03/2020","","Normandie","","","","dh","3","198.1311329","30","","","","","49.6629","0.9406","","","","1243788","","3","3","0","6277.6","","","",""
"10/11/2020-20:09","77","Seine-et-Marne","18/03/2020","","Île-de-France","","","","dh","0","240.6652241","25","","","","","48.6209","3.0411","","","","1423607","","10","13","0","5915.3","","","",""
"10/11/2020-20:09","78","Yvelines","18/03/2020","","Île-de-France","","","","dh","5","634.1380669","69","","","","","48.7627","1.8889","","","","1448625","","5","18","0","2284.4","","","",""
"10/11/2020-20:09","79","Deux-Sèvres","18/03/2020","","Nouvelle-Aquitaine","","","","dh","0","62.11071107","2","","","","","46.5416","-0.2987","","","","372627","","2","1","0","5999.4","","","",""
"10/11/2020-20:09","80","Somme","18/03/2020","","Hauts-de-France","","","","dh","1","92.34356007","50","","","","","49.974","2.3781","","","","569769","","9","20","0","6170.1","","","",""
