"dep","sexe","jour","hosp","rea","HospConv","SSR_USLD","autres","rad","dc"
"01","0","2021-06-01","120","12","56","51","1","2807","618"
"01","1","2021-06-01","61","7","30","24","0","1392","363"
"01","2","2021-06-01","59","5","26","27","1","1391","252"
"02","0","2021-06-01","152","24","83","42","3","4162","1097"
"02","1","2021-06-01","80","18","36","25","1","2004","603"
"02","2","2021-06-01","70","6","46","17","1","2137","486"
"03","0","2021-06-01","47","10","33","4","0","2081","582"
"03","1","2021-06-01","23","6","16","1","0","964","330"
"03","2","2021-06-01","23","4","16","3","0","1096","242"
"04","0","2021-06-01","102","6","31","65","0","1106","249"
"04","1","2021-06-01","46","3","15","28","0","532","149"
"04","2","2021-06-01","56","3","16","37","0","543","93"
"05","0","2021-06-01","20","7","5","7","1","1241","253"
"05","1","2021-06-01","11","3","4","4","0","617","155"
"05","2","2021-06-01","8","4","1","2","1","616","96"
"06","0","2021-06-01","214","32","63","117","2","6461","1520"
"06","1","2021-06-01","102","24","31","46","1","3234","880"
"06","2","2021-06-01","111","8","31","71","1","3138","624"
"07","0","2021-06-01","46","7","33","6","0","2017","495"
"07","1","2021-06-01","34","5","25","4","0","921","292"
"07","2","2021-06-01","12","2","8","2","0","1060","200"
"08","0","2021-06-01","45","7","18","18","2","1145","369"
"08","1","2021-06-01","27","6","12","8","1","583","215"
"08","2","2021-06-01","18","1","6","10","1","551","153"
"09","0","2021-06-01","31","6","15","10","0","402","79"
"09","1","2021-06-01","14","3","6","5","0","187","48"
"09","2","2021-06-01","17","3","9","5","0","212","31"
"10","0","2021-06-01","56","9","29","18","0","1921","430"
"10","1","2021-06-01","33","5","15","13","0","991","261"
"10","2","2021-06-01","22","4","13","5","0","919","167"
"11","0","2021-06-01","76","8","32","35","1","1170","362"
"11","1","2021-06-01","36","6","18","12","0","596","206"
"11","2","2021-06-01","33","2","13","17","1","568","145"
"12","0","2021-06-01","56","4","14","38","0","999","229"
"12","1","2021-06-01","27","1","8","18","0","509","130"
"12","2","2021-06-01","28","2","6","20","0","474","98"
"13","0","2021-06-01","786","150","244","383","9","20784","3569"
"13","1","2021-06-01","420","107","123","186","4","10678","2103"
"13","2","2021-06-01","358","43","120","191","4","9976","1442"
"14","0","2021-06-01","163","28","68","66","1","2518","589"
"14","1","2021-06-01","80","17","29","34","0","1216","329"
"14","2","2021-06-01","81","11","38","32","0","1288","256"
"15","0","2021-06-01","15","3","11","1","0","569","134"
"15","1","2021-06-01","8","2","6","0","0","276","76"
"15","2","2021-06-01","7","1","5","1","0","290","55"
"16","0","2021-06-01","26","4","9","13","0","635","159"
"16","1","2021-06-01","13","3","5","5","0","335","97"
"16","2","2021-06-01","13","1","4","8","0","292","62"
"17","0","2021-06-01","52","7","26","19","0","1142","323"
"17","1","2021-06-01","27","4","11","12","0","605","203"
"17","2","2021-06-01","25","3","15","7","0","534","120"
"18","0","2021-06-01","44","3","18","23","0","1534","507"
"18","1","2021-06-01","24","2","10","12","0","705","270"
"18","2","2021-06-01","20","1","8","11","0","825","236"
"19","0","2021-06-01","15","3","12","0","0","897","217"
"19","1","2021-06-01","9","3","6","0","0","436","124"
"19","2","2021-06-01","6","0","6","0","0","454","92"
"21","0","2021-06-01","136","22","62","52","0","3695","925"
"21","1","2021-06-01","67","14","29","24","0","1867","540"
"21","2","2021-06-01","69","8","33","28","0","1801","378"
"22","0","2021-06-01","36","3","16","13","4","1223","246"
"22","1","2021-06-01","15","2","5","6","2","579","140"
"22","2","2021-06-01","20","1","11","6","2","640","105"
"23","0","2021-06-01","25","8","9","8","0","576","97"
"23","1","2021-06-01","14","4","6","4","0","289","55"
"23","2","2021-06-01","11","4","3","4","0","285","41"
"24","0","2021-06-01","107","7","39","61","0","830","218"
"24","1","2021-06-01","52","5","18","29","0","400","123"
"24","2","2021-06-01","55","2","21","32","0","430","95"
"25","0","2021-06-01","65","20","29","16","0","2369","513"
"25","1","2021-06-01","27","11","10","6","0","1238","305"
"25","2","2021-06-01","38","9","19","10","0","1126","207"
"26","0","2021-06-01","97","19","51","27","0","2868","769"
"26","1","2021-06-01","56","14","28","14","0","1454","431"
"26","2","2021-06-01","40","5","22","13","0","1373","321"
"27","0","2021-06-01","149","11","37","101","0","1855","482"
"27","1","2021-06-01","60","6","19","35","0","918","271"
"27","2","2021-06-01","89","5","18","66","0","919","206"
"28","0","2021-06-01","99","19","40","40","0","2763","504"
"28","1","2021-06-01","55","13","22","20","0","1399","273"
"28","2","2021-06-01","44","6","18","20","0","1344","229"
"29","0","2021-06-01","72","12","29","29","2","1071","259"
"29","1","2021-06-01","42","9","16","15","2","549","167"
"29","2","2021-06-01","29","3","12","14","0","512","90"
