poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,imputed_sample_size,politician_id,politician,favorable,unfavorable,alternate_answers,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable
89367,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,2.8,-0.9,Probability Panel,9.5,,11/1/24,11/3/24,,"",,216434,1242,a,,a,,11/4/24 18:12,"",https://www.ipsos.com/en-us/harris-and-trump-are-locked-tight-race-1-day-election,https://www.ipsos.com/en-us/harris-and-trump-are-locked-tight-race-1-day-election,https://www.ipsos.com/sites/default/files/ct/news/documents/2024-11/Ipsos%20Core%20Political%2011%2004%202024%20PDF_1.pdf,,"",,,1242,6826,Kamala Harris,45.0,50.0,0,,,,
89367,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,2.8,-0.9,Probability Panel,9.5,,11/1/24,11/3/24,,"",,216435,1242,a,,a,,11/4/24 18:12,"",https://www.ipsos.com/en-us/harris-and-trump-are-locked-tight-race-1-day-election,https://www.ipsos.com/en-us/harris-and-trump-are-locked-tight-race-1-day-election,https://www.ipsos.com/sites/default/files/ct/news/documents/2024-11/Ipsos%20Core%20Political%2011%2004%202024%20PDF_1.pdf,,"",,,1242,3033,Tim Walz,43.0,39.0,15.0,,,,
89367,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,2.8,-0.9,Probability Panel,9.5,,11/1/24,11/3/24,,"",,216436,1242,a,,a,,11/4/24 18:12,"",https://www.ipsos.com/en-us/harris-and-trump-are-locked-tight-race-1-day-election,https://www.ipsos.com/en-us/harris-and-trump-are-locked-tight-race-1-day-election,https://www.ipsos.com/sites/default/files/ct/news/documents/2024-11/Ipsos%20Core%20Political%2011%2004%202024%20PDF_1.pdf,,"",,,1242,11,Donald Trump,42.0,54.0,0,,,,
89367,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,2.8,-0.9,Probability Panel,9.5,,11/1/24,11/3/24,,"",,216437,1242,a,,a,,11/4/24 18:12,"",https://www.ipsos.com/en-us/harris-and-trump-are-locked-tight-race-1-day-election,https://www.ipsos.com/en-us/harris-and-trump-are-locked-tight-race-1-day-election,https://www.ipsos.com/sites/default/files/ct/news/documents/2024-11/Ipsos%20Core%20Political%2011%2004%202024%20PDF_1.pdf,,"",,,1242,13265,JD Vance,38.0,46.0,12.0,,,,
89311,1575,Leger,126,New York Post,Leger,572,Leger,2.0,0.0,Online Panel,9.0,,10/31/24,11/3/24,,"",,216136,1044,a,,a,,11/3/24 19:11,"",https://nypost.com/2024/11/03/us-news/donald-trump-erases-deficit-against-kamala-harris-in-final-pre-election-post-poll/,https://nypost.com/2024/11/03/us-news/donald-trump-erases-deficit-against-kamala-harris-in-final-pre-election-post-poll/,,https://leger360.com/wp-content/uploads/2024/11/Leger-x-NYP-Presidential-Election.pdf,"",,,1044,11,Donald Trump,45.0,48.0,7.0,,,,
89311,1575,Leger,126,New York Post,Leger,572,Leger,2.0,0.0,Online Panel,9.0,,10/31/24,11/3/24,,"",,216137,1044,a,,a,,11/3/24 19:11,"",https://nypost.com/2024/11/03/us-news/donald-trump-erases-deficit-against-kamala-harris-in-final-pre-election-post-poll/,https://nypost.com/2024/11/03/us-news/donald-trump-erases-deficit-against-kamala-harris-in-final-pre-election-post-poll/,,https://leger360.com/wp-content/uploads/2024/11/Leger-x-NYP-Presidential-Election.pdf,"",,,1044,6826,Kamala Harris,43.0,44.0,13.0,,,,
89350,1205,Marist,"373,2166",NPR | PBS News,Marist College,183,Marist College,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,9.0,,10/31/24,11/2/24,,"",,216291,1297,lv,,lv,,11/4/24 12:25,"",https://maristpoll.marist.edu/polls/u-s-presidential-contest-november-2024/,https://maristpoll.marist.edu/polls/u-s-presidential-contest-november-2024/,,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fmaristpoll.marist.edu%2Fwp-content%2Fuploads%2F2024%2F11%2FNPR_PBS-News_Marist-Poll_USA-NOS-and-TABLES_202411031509.xlsx&wdOrigin=BROWSELINK,"",false,,1297,6826,Kamala Harris,50.0,47.0,3.0,36.0,14.0,5.0,42.0
89350,1205,Marist,"373,2166",NPR | PBS News,Marist College,183,Marist College,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,9.0,,10/31/24,11/2/24,,"",,216292,1297,lv,,lv,,11/4/24 12:25,"",https://maristpoll.marist.edu/polls/u-s-presidential-contest-november-2024/,https://maristpoll.marist.edu/polls/u-s-presidential-contest-november-2024/,,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fmaristpoll.marist.edu%2Fwp-content%2Fuploads%2F2024%2F11%2FNPR_PBS-News_Marist-Poll_USA-NOS-and-TABLES_202411031509.xlsx&wdOrigin=BROWSELINK,"",false,,1297,11,Donald Trump,45.0,53.0,2.0,32.0,13.0,5.0,48.0
89350,1205,Marist,"373,2166",NPR | PBS News,Marist College,183,Marist College,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,9.0,,10/31/24,11/2/24,,"",,216293,1560,a,,a,,11/4/24 12:25,"",https://maristpoll.marist.edu/polls/u-s-presidential-contest-november-2024/,https://maristpoll.marist.edu/polls/u-s-presidential-contest-november-2024/,,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fmaristpoll.marist.edu%2Fwp-content%2Fuploads%2F2024%2F11%2FNPR_PBS-News_Marist-Poll_USA-NOS-and-TABLES_202411031509.xlsx&wdOrigin=BROWSELINK,"",false,,1560,6826,Kamala Harris,47.0,48.0,5.0,32.0,15.0,8.0,41.0
89350,1205,Marist,"373,2166",NPR | PBS News,Marist College,183,Marist College,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,9.0,,10/31/24,11/2/24,,"",,216294,1446,rv,,rv,,11/4/24 12:25,"",https://maristpoll.marist.edu/polls/u-s-presidential-contest-november-2024/,https://maristpoll.marist.edu/polls/u-s-presidential-contest-november-2024/,,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fmaristpoll.marist.edu%2Fwp-content%2Fuploads%2F2024%2F11%2FNPR_PBS-News_Marist-Poll_USA-NOS-and-TABLES_202411031509.xlsx&wdOrigin=BROWSELINK,"",false,,1446,6826,Kamala Harris,49.0,48.0,4.0,34.0,15.0,7.0,41.0
